h5_index,set_type,cluster_label
201,train,5
202,train,1
203,train,1
204,train,2
205,train,5
206,train,5
207,train,1
208,train,1
209,train,1
210,train,1
211,train,1
212,train,4
213,train,1
214,train,4
215,train,1
216,train,0
217,train,1
218,train,1
219,train,2
220,train,1
221,train,0
222,train,1
223,train,1
224,train,1
225,train,1
226,train,1
227,train,5
228,train,0
229,train,0
230,train,0
231,train,1
232,train,1
233,train,1
234,train,1
235,train,4
236,train,4
237,train,2
238,train,1
239,train,1
240,train,4
241,train,4
242,train,0
243,train,5
244,train,5
245,train,1
246,train,1
247,train,1
248,train,1
249,train,1
250,train,4
251,train,0
252,train,0
253,train,2
254,train,0
255,train,0
256,train,1
257,train,1
258,train,4
259,train,1
260,train,2
261,train,1
262,train,0
263,train,5
264,train,1
265,train,1
266,train,1
267,train,2
268,train,4
269,train,4
270,train,4
271,train,4
272,train,5
273,train,1
274,train,2
275,train,2
276,train,0
277,train,1
278,train,0
279,train,5
280,train,4
281,train,0
282,train,1
283,train,1
284,train,5
285,train,3
286,train,5
287,train,5
288,train,0
289,train,1
290,train,1
291,train,4
292,train,1
293,train,4
294,train,1
295,train,3
296,train,4
297,train,2
298,train,3
299,train,0
300,train,5
301,train,1
302,train,5
303,train,1
304,train,3
305,train,1
306,train,1
307,train,1
308,train,1
309,train,0
310,train,1
311,train,2
312,train,2
313,train,0
314,train,4
315,train,2
316,train,2
317,train,1
318,train,0
319,train,0
320,train,4
321,train,1
322,train,5
323,train,3
324,train,1
325,train,5
326,train,5
327,train,1
328,train,5
329,train,0
330,train,0
331,train,4
332,train,1
333,train,2
334,train,1
335,train,0
336,train,3
337,train,4
338,train,3
339,train,4
340,train,1
341,train,5
342,train,2
343,train,4
344,train,4
345,train,4
346,train,1
347,train,2
348,train,1
349,train,1
350,train,1
351,train,5
352,train,1
353,train,4
354,train,1
355,train,1
356,train,0
357,train,2
358,train,1
359,train,1
360,train,1
361,train,1
362,train,1
363,train,3
364,train,1
365,train,2
366,train,5
367,train,2
368,train,4
369,train,0
370,train,2
371,train,5
372,train,1
373,train,1
374,train,3
375,train,0
376,train,4
377,train,4
378,train,5
379,train,1
380,train,2
381,train,1
382,train,0
383,train,1
384,train,3
385,train,0
386,train,0
387,train,5
388,train,1
389,train,4
390,train,5
391,train,3
392,train,5
393,train,4
394,train,1
395,train,1
396,train,1
397,train,2
398,train,4
399,train,1
400,train,4
401,train,5
402,train,4
403,train,0
404,train,5
405,train,4
406,train,5
407,train,2
408,train,1
409,train,1
410,train,5
411,train,3
412,train,5
413,train,4
414,train,2
415,train,0
416,train,5
417,train,1
418,train,1
419,train,0
420,train,0
421,train,0
422,train,3
423,train,3
424,train,1
425,train,1
426,train,5
427,train,2
428,train,5
429,train,1
430,train,1
431,train,4
432,train,1
433,train,0
434,train,5
435,train,5
436,train,0
437,train,0
438,train,5
439,train,3
440,train,1
441,train,1
442,train,2
443,train,1
444,train,5
445,train,0
446,train,5
447,train,1
448,train,0
449,train,0
450,train,5
451,train,1
452,train,5
453,train,3
454,train,5
455,train,5
456,train,4
457,train,1
458,train,4
459,train,1
460,train,5
461,train,1
462,train,4
463,train,0
464,train,4
465,train,2
466,train,0
467,train,1
468,train,0
469,train,0
470,train,5
471,train,4
472,train,5
473,train,1
474,train,1
475,train,2
476,train,5
477,train,1
478,train,5
479,train,4
480,train,1
481,train,1
482,train,0
483,train,1
484,train,5
485,train,0
486,train,1
487,train,5
488,train,1
489,train,0
490,train,1
491,train,1
492,train,1
493,train,5
494,train,0
495,train,4
496,train,0
497,train,2
498,train,1
499,train,0
500,train,0
501,train,5
502,train,2
503,train,1
504,train,4
505,train,1
506,train,1
507,train,5
508,train,4
509,train,2
510,train,5
511,train,5
512,train,5
513,train,1
514,train,0
515,train,5
516,train,4
517,train,2
518,train,0
519,train,1
520,train,1
521,train,5
522,train,5
523,train,4
524,train,4
525,train,5
526,train,4
527,train,1
528,train,1
529,train,2
530,train,2
531,train,1
532,train,1
533,train,4
534,train,3
535,train,5
536,train,0
537,train,5
538,train,4
539,train,1
540,train,3
541,train,1
542,train,4
543,train,0
544,train,1
545,train,1
546,train,1
547,train,4
548,train,0
549,train,0
550,train,4
551,train,4
552,train,5
553,train,0
554,train,2
555,train,5
556,train,1
557,train,0
558,train,4
559,train,0
560,train,5
561,train,2
562,train,4
563,train,1
564,train,5
565,train,5
566,train,2
567,train,5
568,train,3
569,train,3
570,train,4
571,train,0
572,train,0
573,train,5
574,train,2
575,train,4
576,train,4
577,train,1
578,train,1
579,train,0
580,train,3
581,train,5
582,train,1
583,train,4
584,train,2
585,train,1
586,train,4
587,train,4
588,train,1
589,train,4
590,train,2
591,train,0
592,train,0
593,train,0
594,train,4
595,train,2
596,train,1
597,train,5
598,train,3
599,train,1
600,train,1
601,train,1
602,train,1
603,train,4
604,train,3
605,train,4
606,train,4
607,train,1
608,train,1
609,train,4
610,train,4
611,train,2
612,train,1
613,train,0
614,train,1
615,train,0
616,train,1
617,train,1
618,train,1
619,train,1
620,train,0
621,train,2
622,train,4
623,train,4
624,train,1
625,train,0
626,train,5
627,train,4
628,train,0
629,train,4
630,train,2
631,train,0
632,train,1
633,train,1
634,train,1
635,train,0
636,train,2
637,train,2
638,train,5
639,train,5
640,train,0
641,train,2
642,train,2
643,train,0
644,train,0
645,train,0
646,train,4
647,train,2
648,train,5
649,train,4
650,train,0
651,train,2
652,train,1
653,train,4
654,train,1
655,train,5
656,train,1
657,train,5
658,train,2
659,train,1
660,train,1
661,train,0
662,train,1
663,train,4
664,train,4
665,train,5
666,train,4
667,train,4
668,train,0
669,train,5
670,train,0
671,train,1
672,train,0
673,train,0
674,train,4
675,train,1
676,train,5
677,train,3
678,train,0
679,train,5
680,train,5
681,train,0
682,train,5
683,train,5
684,train,1
685,train,1
686,train,4
687,train,0
688,train,5
689,train,4
690,train,0
691,train,0
692,train,0
693,train,1
694,train,4
695,train,5
696,train,5
697,train,1
698,train,5
699,train,2
700,train,3
701,train,1
702,train,0
703,train,1
704,train,1
705,train,5
706,train,2
707,train,1
708,train,4
709,train,5
710,train,1
711,train,1
712,train,4
713,train,4
714,train,2
715,train,2
716,train,1
717,train,0
718,train,1
719,train,2
720,train,1
721,train,2
722,train,4
723,train,2
724,train,1
725,train,4
726,train,1
727,train,1
728,train,1
729,train,4
730,train,0
731,train,5
732,train,4
733,train,5
734,train,0
735,train,0
736,train,0
737,train,1
738,train,0
739,train,4
740,train,1
741,train,4
742,train,1
743,train,1
744,train,0
745,train,1
746,train,3
747,train,1
748,train,3
749,train,4
750,train,2
751,train,4
752,train,2
753,train,5
754,train,3
755,train,4
756,train,0
757,train,1
758,train,0
759,train,2
760,train,4
761,train,1
762,train,5
763,train,2
764,train,1
765,train,2
766,train,1
767,train,0
768,train,5
769,train,4
770,train,1
771,train,1
772,train,2
773,train,2
774,train,2
775,train,1
776,train,2
777,train,5
778,train,1
779,train,4
780,train,3
781,train,1
782,train,0
783,train,4
784,train,0
785,train,5
786,train,1
787,train,1
788,train,2
789,train,4
790,train,1
791,train,4
792,train,1
793,train,4
794,train,4
795,train,1
796,train,1
797,train,1
798,train,1
799,train,1
800,train,4
801,train,5
802,train,4
803,train,1
804,train,1
805,train,1
806,train,5
807,train,1
808,train,0
809,train,4
810,train,1
811,train,0
812,train,5
813,train,1
814,train,1
815,train,5
816,train,4
817,train,1
818,train,1
819,train,0
820,train,1
821,train,1
822,train,1
823,train,1
824,train,1
825,train,1
826,train,1
827,train,0
828,train,5
829,train,5
830,train,0
831,train,1
832,train,1
833,train,0
834,train,1
835,train,5
836,train,0
837,train,4
838,train,1
839,train,3
840,train,1
841,train,3
842,train,5
843,train,1
844,train,1
845,train,4
846,train,2
847,train,5
848,train,1
849,train,1
850,train,5
851,train,0
852,train,4
853,train,0
854,train,4
855,train,5
856,train,5
857,train,1
858,train,1
859,train,1
860,train,0
861,train,1
862,train,4
863,train,0
864,train,1
865,train,5
866,train,5
867,train,5
868,train,4
869,train,5
870,train,5
871,train,0
872,train,0
873,train,1
874,train,4
875,train,2
876,train,1
877,train,5
878,train,1
879,train,1
880,train,5
881,train,1
882,train,1
883,train,5
884,train,1
885,train,4
886,train,5
887,train,1
888,train,4
889,train,3
890,train,5
891,train,2
892,train,1
893,train,0
894,train,1
895,train,1
896,train,4
897,train,1
898,train,0
899,train,4
900,train,1
901,train,1
902,train,1
903,train,0
904,train,1
905,train,1
906,train,1
907,train,1
908,train,1
909,train,4
910,train,0
911,train,5
912,train,5
913,train,5
914,train,4
915,train,5
916,train,4
917,train,1
918,train,2
919,train,4
920,train,5
921,train,0
922,train,5
923,train,2
924,train,1
925,train,0
926,train,4
927,train,5
928,train,3
929,train,1
930,train,4
931,train,2
932,train,1
933,train,0
934,train,4
935,train,1
936,train,4
937,train,0
938,train,1
939,train,2
940,train,4
941,train,5
942,train,4
943,train,4
944,train,1
945,train,3
946,train,4
947,train,2
948,train,5
949,train,1
950,train,1
951,train,0
952,train,0
953,train,5
954,train,5
955,train,1
956,train,5
957,train,1
958,train,1
959,train,1
960,train,1
961,train,1
962,train,1
963,train,1
964,train,0
965,train,5
966,train,5
967,train,0
968,train,3
969,train,1
970,train,1
971,train,1
972,train,1
973,train,2
974,train,5
975,train,5
976,train,5
977,train,1
978,train,5
979,train,4
980,train,0
981,train,0
982,train,3
983,train,1
984,train,4
985,train,3
986,train,1
987,train,1
988,train,1
989,train,4
990,train,2
991,train,1
992,train,0
993,train,0
994,train,1
995,train,1
996,train,0
997,train,1
998,train,0
999,train,1
1000,train,5
1001,train,1
1002,train,0
1003,train,1
1004,train,1
1005,train,1
1006,train,1
1007,train,2
1008,train,1
1009,train,2
1010,train,1
1011,train,1
1012,train,3
1013,train,1
1014,train,4
1015,train,5
1016,train,0
1017,train,1
1018,train,4
1019,train,4
1020,train,4
1021,train,0
1022,train,1
1023,train,5
1024,train,4
1025,train,1
1026,train,0
1027,train,1
1028,train,4
1029,train,1
1030,train,2
1031,train,5
1032,train,3
1033,train,1
1034,train,1
1035,train,2
1036,train,2
1037,train,4
1038,train,2
1039,train,1
1040,train,1
1041,train,2
1042,train,1
1043,train,1
1044,train,5
1045,train,0
1046,train,3
1047,train,3
1048,train,1
1049,train,5
1050,train,4
1051,train,5
1052,train,2
1053,train,1
1054,train,4
1055,train,1
1056,train,1
1057,train,1
1058,train,1
1059,train,1
1060,train,1
1061,train,0
1062,train,1
1063,train,3
1064,train,4
1065,train,2
1066,train,2
1067,train,0
1068,train,4
1069,train,0
1070,train,0
1071,train,1
1072,train,5
1073,train,1
1074,train,1
1075,train,5
1076,train,0
1077,train,4
1078,train,1
1079,train,1
1080,train,3
1081,train,5
1082,train,5
1083,train,5
1084,train,1
1085,train,3
1086,train,5
1087,train,1
1088,train,5
1089,train,4
1090,train,1
1091,train,0
1092,train,2
1093,train,4
1094,train,5
1095,train,5
1096,train,4
1097,train,4
1098,train,4
1099,train,5
1100,train,4
1101,train,1
1102,train,1
1103,train,0
1104,train,1
1105,train,5
1106,train,4
1107,train,1
1108,train,2
1109,train,2
1110,train,1
1111,train,4
1112,train,1
1113,train,4
1114,train,5
1115,train,4
1116,train,2
1117,train,0
1118,train,1
1119,train,5
1120,train,1
1121,train,2
1122,train,0
1123,train,5
1124,train,1
1125,train,5
1126,train,5
1127,train,0
1128,train,1
1129,train,2
1130,train,2
1131,train,1
1132,train,0
1133,train,4
1134,train,1
1135,train,0
1136,train,4
1137,train,1
1138,train,3
1139,train,5
1140,train,5
1141,train,2
1142,train,5
1143,train,1
1144,train,1
1145,train,1
1146,train,2
1147,train,5
1148,train,2
1149,train,1
1150,train,4
1151,train,1
1152,train,0
1153,train,5
1154,train,1
1155,train,4
1156,train,1
1157,train,4
1158,train,4
1159,train,1
1160,train,4
1161,train,1
1162,train,1
1163,train,4
1164,train,3
1165,train,0
1166,train,1
1167,train,1
1168,train,0
1169,train,1
1170,train,4
1171,train,1
1172,train,0
1173,train,0
1174,train,5
1175,train,0
1176,train,1
1177,train,2
1178,train,1
1179,train,0
1180,train,2
1181,train,5
1182,train,5
1183,train,0
1184,train,4
1185,train,3
1186,train,2
1187,train,0
1188,train,1
1189,train,2
1190,train,1
1191,train,0
1192,train,2
1193,train,1
1194,train,0
1195,train,2
1196,train,3
1197,train,1
1198,train,5
1199,train,1
1200,train,1
1201,train,1
1202,train,0
1203,train,5
1204,train,0
1205,train,3
1206,train,1
1207,train,1
1208,train,0
1209,train,3
1210,train,1
1211,train,0
1212,train,2
1213,train,4
1214,train,1
1215,train,5
1216,train,4
1217,train,3
1218,train,1
1219,train,0
1220,train,4
1221,train,4
1222,train,4
1223,train,5
1224,train,1
1225,train,5
1226,train,1
1227,train,5
1228,train,1
1229,train,0
1230,train,1
1231,train,0
1232,train,5
1233,train,4
1234,train,0
1235,train,4
1236,train,4
1237,train,1
1238,train,4
1239,train,0
1240,train,5
1241,train,4
1242,train,0
1243,train,4
1244,train,0
1245,train,1
1246,train,2
1247,train,4
1248,train,5
1249,train,1
1250,train,1
1251,train,0
1252,train,1
1253,train,2
1254,train,1
1255,train,1
1256,train,5
1257,train,4
1258,train,1
1259,train,1
1260,train,0
1261,train,0
1262,train,0
1263,train,5
1264,train,1
1265,train,1
1266,train,2
1267,train,4
1268,train,5
1269,train,4
1270,train,1
1271,train,4
1272,train,1
1273,train,0
1274,train,1
1275,train,2
1276,train,0
1277,train,1
1278,train,4
1279,train,1
1280,train,2
1281,train,5
1282,train,4
1283,train,1
1284,train,1
1285,train,0
1286,train,2
1287,train,1
1288,train,1
1289,train,2
1290,train,1
1291,train,0
1292,train,2
1293,train,4
1294,train,4
1295,train,1
1296,train,2
1297,train,4
1298,train,5
1299,train,1
1300,train,5
1301,train,4
1302,train,5
1303,train,4
1304,train,5
1305,train,1
1306,train,1
1307,train,1
1308,train,0
1309,train,5
1310,train,3
1311,train,5
1312,train,5
1313,train,1
1314,train,0
1315,train,1
1316,train,0
1317,train,3
1318,train,1
1319,train,1
1320,train,5
1321,train,4
1322,train,2
1323,train,0
1324,train,0
1325,train,1
1326,train,1
1327,train,1
1328,train,4
1329,train,4
1330,train,1
1331,train,1
1332,train,1
1333,train,5
1334,train,0
1335,train,4
1336,train,0
1337,train,1
1338,train,4
1339,train,0
1340,train,5
1341,train,1
1342,train,0
1343,train,0
1344,train,3
1345,train,5
1346,train,0
1347,train,5
1348,train,4
1349,train,1
1350,train,4
1351,train,5
1352,train,3
1353,train,1
1354,train,1
1355,train,2
1356,train,1
1357,train,0
1358,train,1
1359,train,2
1360,train,2
1361,train,3
1362,train,3
1363,train,4
1364,train,0
1365,train,2
1366,train,1
1367,train,5
1368,train,1
1369,train,1
1370,train,1
1371,train,2
1372,train,5
1373,train,2
1374,train,0
1375,train,4
1376,train,5
1377,train,1
1378,train,2
1379,train,5
1380,train,5
1381,train,1
1382,train,4
1383,train,4
1384,train,2
1385,train,0
1386,train,0
1387,train,0
1388,train,3
1389,train,4
1390,train,4
1391,train,1
1392,train,1
1393,train,3
1394,train,0
1395,train,0
1396,train,5
1397,train,1
1398,train,0
1399,train,0
1400,train,0
1401,train,4
1402,train,2
1403,train,0
1404,train,2
1405,train,2
1406,train,0
1407,train,0
1408,train,5
1409,train,4
1410,train,1
1411,train,4
1412,train,4
1413,train,2
1414,train,1
1415,train,5
1416,train,1
1417,train,2
1418,train,1
1419,train,4
1420,train,0
1421,train,2
1422,train,4
1423,train,1
1424,train,1
1425,train,1
1426,train,1
1427,train,0
1428,train,4
1429,train,3
1430,train,2
1431,train,1
1432,train,1
1433,train,0
1434,train,1
1435,train,4
1436,train,1
1437,train,1
1438,train,1
1439,train,0
1440,train,4
1441,train,4
1442,train,3
1443,train,1
1444,train,2
1445,train,5
1446,train,4
1447,train,5
1448,train,1
1449,train,0
1450,train,4
1451,train,5
1452,train,1
1453,train,0
1454,train,1
1455,train,5
1456,train,0
1457,train,5
1458,train,1
1459,train,0
1460,train,5
1461,train,0
1462,train,1
1463,train,1
1464,train,2
1465,train,1
1466,train,2
1467,train,2
1468,train,5
1469,train,2
1470,train,4
1471,train,1
1472,train,1
1473,train,2
1474,train,1
1475,train,1
1476,train,5
1477,train,3
1478,train,4
1479,train,0
1480,train,2
1481,train,0
1482,train,1
1483,train,1
1484,train,5
1485,train,0
1486,train,0
1487,train,0
1488,train,1
1489,train,5
1490,train,4
1491,train,2
1492,train,4
1493,train,1
1494,train,5
1495,train,1
1496,train,1
1497,train,1
1498,train,0
1499,train,1
1500,train,0
1501,train,1
1502,train,1
1503,train,5
1504,train,0
1505,train,5
1506,train,4
1507,train,5
1508,train,0
1509,train,1
1510,train,0
1511,train,4
1512,train,5
1513,train,4
1514,train,5
1515,train,0
1516,train,3
1517,train,2
1518,train,0
1519,train,0
1520,train,4
1521,train,4
1522,train,5
1523,train,2
1524,train,1
1525,train,0
1526,train,0
1527,train,2
1528,train,4
1529,train,4
1530,train,0
1531,train,5
1532,train,2
1533,train,4
1534,train,1
1535,train,5
1536,train,1
1537,train,1
1538,train,2
1539,train,1
1540,train,5
1541,train,1
1542,train,5
1543,train,1
1544,train,1
1545,train,0
1546,train,4
1547,train,4
1548,train,1
1549,train,0
1550,train,0
1551,train,1
1552,train,1
1553,train,5
1554,train,4
1555,train,4
1556,train,5
1557,train,0
1558,train,5
1559,train,0
1560,train,0
1561,train,0
1562,train,5
1563,train,0
1564,train,4
1565,train,5
1566,train,1
1567,train,1
1568,train,5
1569,train,0
1570,train,5
1571,train,5
1572,train,1
1573,train,1
1574,train,4
1575,train,4
1576,train,1
1577,train,1
1578,train,1
1579,train,0
1580,train,1
1581,train,2
1582,train,1
1583,train,1
1584,train,5
1585,train,1
1586,train,5
1587,train,1
1588,train,0
1589,train,3
1590,train,1
1591,train,5
1592,train,5
1593,train,2
1594,train,5
1595,train,1
1596,train,2
1597,train,0
1598,train,0
1599,train,2
1600,train,4
1601,train,0
1602,train,1
1603,train,1
1604,train,1
1605,train,1
1606,train,1
1607,train,4
1608,train,0
1609,train,1
1610,train,1
1611,train,0
1612,train,5
1613,train,1
1614,train,4
1615,train,0
1616,train,2
1617,train,1
1618,train,1
1619,train,1
1620,train,1
1621,train,0
1622,train,2
1623,train,0
1624,train,1
1625,train,0
1626,train,1
1627,train,1
1628,train,4
1629,train,4
1630,train,1
1631,train,4
1632,train,5
1633,train,3
1634,train,2
1635,train,5
1636,train,4
1637,train,5
1638,train,5
1639,train,0
1640,train,4
1641,train,0
1642,train,5
1643,train,4
1644,train,5
1645,train,0
1646,train,0
1647,train,0
1648,train,3
1649,train,2
1650,train,1
1651,train,1
1652,train,1
1653,train,2
1654,train,1
1655,train,1
1656,train,0
1657,train,5
1658,train,1
1659,train,1
1660,train,4
1661,train,1
1662,train,1
1663,train,1
1664,train,2
1665,train,2
1666,train,0
1667,train,3
1668,train,1
1669,train,1
1670,train,1
1671,train,5
1672,train,4
1673,train,1
1674,train,2
1675,train,5
1676,train,0
1677,train,5
1678,train,0
1679,train,3
1680,train,1
1681,train,1
1682,train,0
1683,train,1
1684,train,0
1685,train,0
1686,train,5
1687,train,1
1688,train,5
1689,train,5
1690,train,5
1691,train,2
1692,train,4
1693,train,1
1694,train,4
1695,train,0
1696,train,2
1697,train,1
1698,train,2
1699,train,1
1700,train,4
1701,train,2
1702,train,1
1703,train,5
1704,train,4
1705,train,3
1706,train,5
1707,train,5
1708,train,3
1709,train,1
1710,train,2
1711,train,3
1712,train,1
1713,train,1
1714,train,5
1715,train,2
1716,train,1
1717,train,1
1718,train,4
1719,train,1
1720,train,1
1721,train,0
1722,train,0
1723,train,0
1724,train,0
1725,train,1
1726,train,0
1727,train,0
1728,train,0
1729,train,2
1730,train,2
1731,train,0
1732,train,3
1733,train,5
1734,train,0
1735,train,4
1736,train,1
1737,train,1
1738,train,1
1739,train,1
1740,train,2
1741,train,0
1742,train,3
1743,train,3
1744,train,1
1745,train,0
1746,train,4
1747,train,4
1748,train,0
1749,train,0
1750,train,5
1751,train,3
1752,train,1
1753,train,5
1754,train,1
1755,train,1
1756,train,4
1757,train,0
1758,train,5
1759,train,0
1760,train,1
1761,train,1
1762,train,1
1763,train,4
1764,train,5
1765,train,5
1766,train,1
1767,train,0
1768,train,1
1769,train,4
1770,train,0
1771,train,4
1772,train,4
1773,train,1
1774,train,1
1775,train,0
1776,train,1
1777,train,1
1778,train,1
1779,train,1
1780,train,2
1781,train,0
1782,train,1
1783,train,1
1784,train,3
1785,train,1
1786,train,1
1787,train,1
1788,train,2
1789,train,2
1790,train,2
1791,train,0
1792,train,4
1793,train,1
1794,train,4
1795,train,1
1796,train,4
1797,train,2
1798,train,1
1799,train,2
1800,train,1
1801,train,1
1802,train,1
1803,train,5
1804,train,4
1805,train,5
1806,train,5
1807,train,1
1808,train,5
1809,train,2
1810,train,0
1811,train,2
1812,train,2
1813,train,1
1814,train,1
1815,train,0
1816,train,1
1817,train,1
1818,train,1
1819,train,1
1820,train,0
1821,train,0
1822,train,1
1823,train,1
1824,train,5
1825,train,0
1826,train,2
1827,train,4
1828,train,2
1829,train,0
1830,train,0
1831,train,1
1832,train,2
1833,train,5
1834,train,2
1835,train,5
1836,train,5
1837,train,4
1838,train,0
1839,train,1
1840,train,5
1841,train,1
1842,train,0
1843,train,5
1844,train,1
1845,train,1
1846,train,1
1847,train,1
1848,train,4
1849,train,4
1850,train,4
1851,train,4
1852,train,5
1853,train,1
1854,train,5
1855,train,1
1856,train,5
1857,train,5
1858,train,1
1859,train,4
1860,train,3
1861,train,5
1862,train,4
1863,train,5
1864,train,5
1865,train,3
1866,train,5
1867,train,5
1868,train,4
1869,train,2
1870,train,2
1871,train,5
1872,train,0
1873,train,3
1874,train,3
1875,train,2
1876,train,4
1877,train,0
1878,train,2
1879,train,2
1880,train,1
1881,train,2
1882,train,1
1883,train,3
1884,train,5
1885,train,4
1886,train,3
1887,train,1
1888,train,1
1889,train,5
1890,train,1
1891,train,1
1892,train,5
1893,train,2
1894,train,1
1895,train,4
1896,train,1
1897,train,4
1898,train,1
1899,train,1
1900,train,5
1901,train,4
1902,train,5
1903,train,2
1904,train,1
1905,train,5
1906,train,1
1907,train,3
1908,train,2
1909,train,2
1910,train,2
1911,train,3
1912,train,1
1913,train,5
1914,train,1
1915,train,1
1916,train,1
1917,train,1
1918,train,3
1919,train,4
1920,train,1
1921,train,5
1922,train,5
1923,train,1
1924,train,1
1925,train,1
1926,train,0
1927,train,1
1928,train,5
1929,train,1
1930,train,1
1931,train,1
1932,train,1
1933,train,1
1934,train,4
1935,train,5
1936,train,3
1937,train,1
1938,train,5
1939,train,1
1940,train,0
1941,train,4
1942,train,5
1943,train,1
1944,train,0
1945,train,5
1946,train,5
1947,train,5
1948,train,2
1949,train,2
1950,train,1
1951,train,2
1952,train,1
1953,train,4
1954,train,0
1955,train,4
1956,train,4
1957,train,1
1958,train,2
1959,train,4
1960,train,1
1961,train,5
1962,train,1
1963,train,5
1964,train,0
1965,train,1
1966,train,4
1967,train,1
1968,train,1
1969,train,1
1970,train,4
1971,train,0
1972,train,4
1973,train,4
1974,train,2
1975,train,5
1976,train,2
1977,train,5
1978,train,1
1979,train,5
1980,train,5
1981,train,2
1982,train,5
1983,train,5
1984,train,2
1985,train,2
1986,train,4
1987,train,1
1988,train,4
1989,train,1
1990,train,0
1991,train,1
1992,train,5
1993,train,1
1994,train,0
1995,train,5
1996,train,1
1997,train,5
1998,train,1
1999,train,1
2000,train,1
2001,train,0
2002,train,2
2003,train,1
2004,train,1
2005,train,1
2006,train,2
2007,train,2
2008,train,5
2009,train,2
2010,train,5
2011,train,2
2012,train,1
2013,train,2
2014,train,5
2015,train,1
2016,train,2
2017,train,0
2018,train,1
2019,train,1
2020,train,1
2021,train,0
2022,train,1
2023,train,0
2024,train,0
2025,train,5
2026,train,1
2027,train,5
2028,train,3
2029,train,0
2030,train,0
2031,train,1
2032,train,2
2033,train,4
2034,train,0
2035,train,5
2036,train,5
2037,train,1
2038,train,0
2039,train,5
2040,train,5
2041,train,2
2042,train,1
2043,train,0
2044,train,1
2045,train,5
2046,train,0
2047,train,5
2048,train,1
2049,train,5
2050,train,5
2051,train,1
2052,train,2
2053,train,1
2054,train,1
2055,train,4
2056,train,3
2057,train,2
2058,train,1
2059,train,1
2060,train,5
2061,train,0
2062,train,0
2063,train,1
2064,train,0
2065,train,1
2066,train,0
2067,train,0
2068,train,0
2069,train,1
2070,train,1
2071,train,1
2072,train,0
2073,train,4
2074,train,1
2075,train,4
2076,train,5
2077,train,1
2078,train,1
2079,train,1
2080,train,1
2081,train,5
2082,train,4
2083,train,1
2084,train,1
2085,train,0
2086,train,1
2087,train,5
2088,train,4
2089,train,2
2090,train,1
2091,train,0
2092,train,1
2093,train,1
2094,train,1
2095,train,2
2096,train,4
2097,train,0
2098,train,5
2099,train,1
2100,train,1
2101,train,1
2102,train,0
2103,train,2
2104,train,4
2105,train,1
2106,train,2
2107,train,1
2108,train,2
2109,train,0
2110,train,3
2111,train,5
2112,train,4
2113,train,1
2114,train,4
2115,train,0
2116,train,4
2117,train,5
2118,train,5
2119,train,3
2120,train,5
2121,train,0
2122,train,1
2123,train,4
2124,train,3
2125,train,1
2126,train,0
2127,train,1
2128,train,4
2129,train,1
2130,train,0
2131,train,3
2132,train,4
2133,train,1
2134,train,4
2135,train,1
2136,train,5
2137,train,1
